20.0000000000E+0	-12.8378157998E+0	6.5815380311E+0
21.0000000000E+0	-2.7299326062E+0	-6.5488397231E+0
22.0000000000E+0	12.8864917594E+0	-260.4395519326E-3
23.0000000000E+0	20.9088508205E-3	1.4281887786E+0
24.0000000000E+0	-9.8254415399E+0	302.6344573530E-3
25.0000000000E+0	990.8173289520E-3	-2.3203046359E+0
26.0000000000E+0	5.1335575133E+0	1.5921183678E+0
27.0000000000E+0	-691.3293273396E-3	3.5115566344E+0
28.0000000000E+0	-2.6515455420E+0	-4.5512494588E+0
29.0000000000E+0	1.2909849688E+0	-358.7130990634E-3
30.0000000000E+0	3.6490612975E+0	3.7315180106E+0
31.0000000000E+0	-3.2137858934E+0	-1.6432354977E+0
32.0000000000E+0	1.6673780348E+0	-2.7053572113E+0
33.0000000000E+0	1.8201624551E+0	1.5415917582E+0
34.0000000000E+0	-2.5546486690E+0	26.0751183452E-3
35.0000000000E+0	-1.0889369485E+0	-1.7391419424E+0
36.0000000000E+0	2.3734845759E+0	2.3239934399E+0
37.0000000000E+0	-634.4614929492E-3	403.3659803876E-3
38.0000000000E+0	-496.9136858731E-3	-2.5565810384E+0
39.0000000000E+0	1.4016697864E+0	630.4025257877E-3
40.0000000000E+0	-975.0183486738E-3	-32.5732791595E-3
41.0000000000E+0	-1.2925195043E+0	-2.7161099184E+0
42.0000000000E+0	-184.8409741706E-3	253.1727863649E-3
43.0000000000E+0	-1.4092131940E+0	968.6683666422E-3
44.0000000000E+0	-1.0821204654E+0	-3.7468372850E+0
45.0000000000E+0	-2.1555225166E+0	373.0291741625E-3
46.0000000000E+0	-2.6613113146E+0	1.0282091083E+0
47.0000000000E+0	-1.0164299843E+0	-861.7253720322E-3
48.0000000000E+0	-62.7896820269E-3	1.9823490050E+0
49.0000000000E+0	-1.2636784105E+0	634.8406838663E-3
50.0000000000E+0	1.4154985505E+0	-526.1714145639E-3
51.0000000000E+0	-712.8128518708E-3	861.5331828654E-3
52.0000000000E+0	-480.8251624861E-3	-371.8364904242E-3
53.0000000000E+0	384.8055890379E-3	-747.8448118429E-3
54.0000000000E+0	-1.3636767170E+0	1.4247213079E+0
55.0000000000E+0	156.2318532486E-3	-407.7797651010E-3
56.0000000000E+0	762.3742887719E-3	1.0099016993E+0
57.0000000000E+0	-905.9990989471E-3	785.4436449973E-3
58.0000000000E+0	1.4230807123E+0	1.2380591484E+0
59.0000000000E+0	1.1955846166E+0	1.6702929465E+0
60.0000000000E+0	36.4487742077E-3	695.9103385013E-3
61.0000000000E+0	1.5673011895E+0	1.3284967924E+0
62.0000000000E+0	-378.5317874112E-3	613.2190059193E-3
63.0000000000E+0	412.6269716898E-3	-459.2199942741E-3
64.0000000000E+0	67.4726559761E-3	724.8280328878E-3
65.0000000000E+0	-476.2487664228E-3	-413.7745904019E-3
66.0000000000E+0	633.3249960973E-3	-8.5872381859E-3
67.0000000000E+0	-2.4162014721E+0	2.0869065271E+0
68.0000000000E+0	1.0514512176E+0	5.3332318673E+0
69.0000000000E+0	3.4743385984E+0	2.2591451460E+0
70.0000000000E+0	-45.9901960411E-3	-317.9737676152E-3
71.0000000000E+0	674.3968706411E-3	38.6523794261E-3
72.0000000000E+0	-958.9836210590E-3	251.2994749232E-3
73.0000000000E+0	38.7188102793E-3	147.4028990650E-3
74.0000000000E+0	287.9566846273E-3	718.6684760585E-3
75.0000000000E+0	-249.5218201069E-3	-271.4154816893E-3
76.0000000000E+0	650.8374456420E-3	641.8644733629E-3
77.0000000000E+0	-400.0641378347E-3	263.9420995495E-3
78.0000000000E+0	565.9347662135E-3	84.6550665589E-3
79.0000000000E+0	-255.1310376209E-3	637.8947616088E-3
80.0000000000E+0	47.7589312138E-3	-215.8899653997E-3
81.0000000000E+0	88.7965394685E-3	825.3916900801E-3
82.0000000000E+0	-131.1509114715E-3	17.0054388646E-3
83.0000000000E+0	518.3484276110E-3	331.8477581703E-3
84.0000000000E+0	-489.3594692935E-3	208.8618320980E-3
85.0000000000E+0	163.0312514716E-3	176.4570745164E-3
86.0000000000E+0	-286.2163662750E-3	662.6089214236E-3
87.0000000000E+0	-39.9918053351E-3	33.7586686113E-3
88.0000000000E+0	121.8817790298E-3	717.3926767734E-3
89.0000000000E+0	-218.1238524552E-3	178.9510696714E-3
90.0000000000E+0	479.7205694964E-3	474.8735864593E-3
91.0000000000E+0	-267.3378391381E-3	286.7361680748E-3
92.0000000000E+0	378.5642894899E-3	60.3738121911E-3
93.0000000000E+0	-304.0171193349E-3	575.0604080333E-3
94.0000000000E+0	122.2899630677E-3	-17.2747564089E-3
95.0000000000E+0	-30.1716768090E-3	836.1571238361E-3
96.0000000000E+0	-218.2587163360E-3	25.2419063097E-3
97.0000000000E+0	182.2947244147E-3	965.0243837406E-3
98.0000000000E+0	-227.8073442320E-3	67.3687368769E-3
99.0000000000E+0	365.7843554957E-3	407.8945215642E-3
100.0000000000E+0	-523.5889174981E-3	182.3508015301E-3
101.0000000000E+0	488.4801979361E-3	266.2934037111E-3
102.0000000000E+0	-324.5977738883E-3	338.9699740175E-3
103.0000000000E+0	328.7357859406E-3	56.8098633518E-3
104.0000000000E+0	-199.5924024626E-3	687.7182094727E-3
105.0000000000E+0	239.7632716222E-3	-67.4988764271E-3
106.0000000000E+0	-78.5881435063E-3	769.4211113177E-3
107.0000000000E+0	35.2100586413E-3	-11.0444081117E-3
108.0000000000E+0	162.5705972232E-3	784.9069568757E-3
109.0000000000E+0	-90.3802405593E-3	-98.8570139089E-6
